Table S1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Station number;Station code;Coordinates;Bottom depth[m];Coast distance[km];Depth;Aliquot[kg];Salinity[PSU];Temperature[deg];Oxygen[ml/L];236U/238U (1E-10atom ratio);un_236U/238U;238U[ug/kg];un_238U;236U[1E6atoms/kg];un_236U;237Np[1E6atoms/kg];un_237Np;237Np/236U[atom ratio];un_236U/237Np;
1;Mir20002;20.0°S, 13.0°E;30;3.5;surface;3.4;35.49;15.23;1.91;4.47;0.86;2.964;0.088;3.35;0.63;5.29;0.46;1.58;0.33;
;;;;;;5.5;35.49;15.23;1.91;5.11;0.22;3.367;0.076;4.35;0.19;6.13;0.49;1.41;0.13;
2;Mir20070;20.0°S, 11.8°E;442;122.6;surface;3.4;35.55;17.96;5.11;4.79;0.75;3.316;0.099;4.02;0.62;7.75;0.50;1.93;0.32;
;;;;;;4.8;35.55;17.96;5.11;5.97;0.27;3.351;0.080;5.06;0.23;7.38;0.52;1.46;0.12;
3;Mir23002;23.0°S, 14.4°E;35;3.4;surface;2.6;35.29;13.88;1.86;6.70;1.30;2.957;0.089;5.02;0.94;5.48;0.40;1.09;0.22;
4;Mir23070;23.0°S, 13.1°E;352;129.7;surface;5.3;35.32;16.52;4.85;5.64;0.33;3.309;0.081;4.72;0.28;7.59;0.54;1.61;0.15;
5;Mir26002;26.0°S, 14.9°E;22;3.6;surface;3.3;35.06;11.78;1.68;5.61;0.94;3.060;0.091;4.34;0.72;4.60;0.31;1.06;0.19;
6;Mir26050;26.0°S, 14.0°E;307;89.2;surface;5.3;35.18;15.06;5.83;6.52;0.39;3.424;0.084;5.65;0.33;8.15;0.55;1.44;0.13;
7;Mir 26090;26.0°S, 13.3°E;1272;166.8;surface;5.2;35.17;15.62;5.81;6.62;0.44;3.258;0.087;5.46;0.36;8.49;0.62;1.56;0.15;
;;;;;300 m;5.2;34.76;9.54;4.15;3.82;0.31;3.301;0.095;3.19;0.26;5.56;0.42;1.74;0.19;
;;;;;600 m;5.3;34.48;5.69;3.02;0.71;0.18;3.223;0.085;0.58;0.15;1.08;0.19;1.86;0.58;
;;;;;1250 m;5.5;34.69;3.38;4.12;0.22;0.17;3.281;0.084;0.19;0.14;< 1;-;-;-;
8;Mir27005;27.0°S, 15.1°E;77;9.7;surface;3.3;35.18;11.59;3.33;5.84;0.96;3.007;0.089;4.44;0.72;5.47;0.37;1.23;0.22;
;;;;;;5.3;35.18;11.59;3.33;5.30;0.23;3.292;0.080;4.42;0.19;5.99;0.46;1.36;0.12;
9;Mir27050;27.0°S, 14.3°E;373;92.8;surface;2.8;35.09;14.98;5.76;6.30;1.00;3.295;0.097;5.25;0.82;7.16;0.49;1.36;0.23;
;;;;;;5.3;35.09;14.98;5.76;6.07;0.30;3.290;0.084;5.06;0.24;7.69;0.52;1.52;0.13;
10;WBHC;22.9°S, 14.5°E;10;0.1;surface;5;;;;4.81;0.31;3.346;0.097;4.07;0.25;5.57;0.40;1.37;0.13;
11;ZZ1;22.4°S, 14.3°E;16;13.6;surface;3.2;35.34;13.94;0.27;6.23;0.97;3.055;0.090;4.81;0.74;4.50;0.31;0.94;0.16;
;;;;;surface;4.8;35.34;13.94;0.27;5.70;0.34;3.393;0.087;4.90;0.29;4.57;0.36;0.93;0.09;
12;ZZ4;22.1°S, 13.2°E;200;34.3;surface;2.2;35.32;16.28;5.84;5.20;1.10;3.380;0.100;4.44;0.94;6.78;0.48;1.52;0.34;
13;ZZ7;21.3°S, 13.5°E;19;18.4;surface;4.9;35.40;14.41;0.99;4.91;0.28;3.377;0.080;4.20;0.23;6.60;0.50;1.57;0.15;
14;ZZ8;21.2°S, 13.0°E;215;58.5;surface;2.2;35.41;16.62;6.28;4.80;0.52;3.304;0.093;4.01;0.43;6.63;0.56;1.65;0.23;
15;ZZ12;20.4°S, 12.5°E;182;74.8;surface;2.1;35.47;16.78;5.31;5.72;0.58;3.385;0.071;4.90;0.50;7.09;0.59;1.45;0.19;
16;LAGOON;26.6°S, 15.1°E;10;5.5;surface;5.2;;;;5.12;0.25;3.043;0.071;3.94;0.19;5.33;0.40;1.35;0.12;
;;;;;;;;;;;;;;;;;;;;
